Please tell us your thoughts about the content of the video. Please phrase it as if you were leaving a comment on the video you just watched from iJustine.,Please tell us your thoughts about the content of the video. Please phrase it as if you were leaving a comment on the video you just watched from Marques Brownlee
"Her reviews mostly positive.  Not credible, someone script for her?",He tries to be objectives and neutral
the macro mode and video of the nee iPhone13 is really cool. I am really impressed. Love the music and the video is very well edited. very well made,a lot of information. too much information. Kind of lose my attention with some I dont need. A lot of features mentioned and I had to fast forward to the features I am interested in.
I feel that she is overselling the iphone as she exaggerates on the plus points of the phone. She didn't mention about the cons of the phone. Could be she is paid or sponsored by Apple. Nevertheless it is still an informative and entertaining video about the phone,"Marques gives a more realistic unbiased review of the iphone. He mentions about the pros and cons of the phone and compare's them in a fair manner. Given his more authentic review, I will be more inclined to believing what he says."
"Love the in-depth dive into the cameras for the phones, definitely a nice upgrade. ","Thanks for the in-depth review of the phone as a whole, very helpful! "
Focused on the camera. I believe there are phones with better cameras. I'm not a fan of apple,It's comparing iphone with iphone. Doesn't convince me to buy one. I'm not an apple fan.
"Interesting, fun to watch, and insightful, but very long",Factual review
Wow!!! Iphone 13 Pro Max features are super upgrade! Thank you for the detailed review!,I would love to see more comparisons between the new and the old. 
Great shots. ,Exactly what I wanted to know. Thanks!
Don’t exaggerate ,My go to review guy !
Succinctly describes the main differences between iPhone 12 Pro Max and iPhone 13 pro max as well as differences between the 13pro and 13. Points out special features of the phone. Video shot in an interesting and stylish manner.,"Good use of keywords and pointer forms. Very easy to understand. Very succinct, to the point and no unnecessary shots. Focuses on technical bits of the phone. Pretty convinced to buy the phone. "
"Very clear and down to earth review of the phone, scenarios of how a normal users would use the phone are much appreciated ","very detailed and technical, probably better for very geeky users"
Not convinced. ,Not convinced 
"Interesting! She shows the different photo modes for the iphone which i didnt know was possible, this allows me to take more photos i like in a different way!",The ProMotion seems to be interesting...
Cinematic is helpful feature to take video and photo quality is vivid.,The iPhone design is stylist and when you owned it you will capture excellent photos
Creative and content is good ,Content is very informative 
Doesn't matter to me because I just don't think it's practical to spend the money on a phone.,Still doesn't matter to me because it doesn't make sense to spend such money on a phone
Really enjoyed the tour around! I had fun 'hanging out' with you while you reviewed the phone :),Thanks for taking time to show us the deets of the phone up close!
Great content on the macro and cinematic modes!,"Thank you for the great overview of the iPhone 13 Pro and for detailing the screen, battery, cameras, etc."
I really enjoyed the video! The quality of the iphone 13 pro max camera is amazing!,Been wondering if I should upgrade from my old iPhone XR and you've got me convinced!
Nil,Nil
"As an iPhone user who love taking photo but never thought of getting a pro max model because i always think it is unnecessary, your video makes me want to get one. The photo and video taken by 13 pro max are really nice! Love the way you do review and compare to another model, and love the fun and your energy too!",Very detailed and informative video. 
Very informative and upbeat,Very informative and precise. 
in depth explanation of details on the phone ,correlation of some random stuffs into his video content 
